feature_idx,feature_theme,layer,n_seq,n_tokens,subsample_seed,n_train_pos,n_test,n_test_pos,auc_roc,auc_pr,p_at_k,C,n_iter,converged,fit_seconds,degenerate
9989,refusal,5,8,2040,11,6,20400,190,0.5664288132503451,0.01985161510300995,0.06842105263157895,0.001,21,1,0.282,0
817,deception,5,8,2040,11,17,20400,267,0.5879232690622342,0.02104410449616661,0.026217228464419477,0.001,20,1,0.244,0
12730,ethics,5,8,2040,11,8,20400,75,0.6931936039360393,0.020251149998439244,0.04,0.001,19,1,0.204,0
892,sycophancy-adj,5,8,2040,11,24,20400,68,0.8612647695316569,0.05180246557947602,0.08823529411764706,0.001,17,1,0.256,0
1031,harm,5,8,2040,11,9,20400,97,0.8769340369687888,0.1374923997694196,0.21649484536082475,0.001,18,1,0.286,0
9989,refusal,5,8,2040,12,32,20400,190,0.7545235553009192,0.041626102077935365,0.09473684210526316,0.001,18,1,0.176,0
817,deception,5,8,2040,12,7,20400,267,0.6824886973536097,0.027731410178960213,0.04119850187265917,0.001,20,1,0.281,0
12730,ethics,5,8,2040,12,5,20400,75,0.6890824108241083,0.015501508757994963,0.05333333333333334,0.001,19,1,0.198,0
892,sycophancy-adj,5,8,2040,12,9,20400,68,0.8675559245929338,0.05475807296197311,0.11764705882352941,0.001,21,1,0.212,0
1031,harm,5,8,2040,12,29,20400,97,0.8366241137488695,0.06892361703221328,0.16494845360824742,0.001,17,1,0.172,0
9989,refusal,5,8,2040,13,1,20400,190,0.5901158884345946,0.01463083660936821,0.021052631578947368,0.001,18,1,0.183,0
817,deception,5,8,2040,13,1,20400,267,0.5905946430023118,0.0183880852324704,0.03745318352059925,0.001,21,1,0.2,0
12730,ethics,5,8,2040,13,0,,,,,,0.001,,,0.0,1
892,sycophancy-adj,5,8,2040,13,11,20400,68,0.8446038409461759,0.03136556050812835,0.029411764705882353,0.001,20,1,0.205,0
1031,harm,5,8,2040,13,2,20400,97,0.7779882207240716,0.0252134822260524,0.020618556701030927,0.001,17,1,0.197,0
9989,refusal,5,8,2040,14,25,20400,190,0.7314346727779368,0.03379831613733846,0.07368421052631578,0.001,21,1,0.194,0
817,deception,5,8,2040,14,16,20400,267,0.6126145960821213,0.02774832453431613,0.08239700374531835,0.001,18,1,0.175,0
12730,ethics,5,8,2040,14,4,20400,75,0.6301166051660516,0.0059284145334352915,0.0,0.001,20,1,0.241,0
892,sycophancy-adj,5,8,2040,14,2,20400,68,0.7941668306118433,0.04165648309240452,0.07352941176470588,0.001,19,1,0.265,0
1031,harm,5,8,2040,14,6,20400,97,0.775553457896375,0.030846577780585926,0.07216494845360824,0.001,19,1,0.19,0
9989,refusal,5,16,4080,10,34,20400,190,0.7733503476653039,0.046057473076543384,0.03684210526315789,0.001,21,1,0.443,0
817,deception,5,16,4080,10,31,20400,267,0.8254504548497807,0.06439743366617495,0.10486891385767791,0.001,22,1,0.437,0
12730,ethics,5,16,4080,10,5,20400,75,0.7142527265272653,0.016931795785380257,0.04,0.001,23,1,0.511,0
892,sycophancy-adj,5,16,4080,10,11,20400,68,0.8802778292115587,0.06473160872698908,0.16176470588235295,0.001,21,1,0.355,0
1031,harm,5,16,4080,10,7,20400,97,0.8612164877365642,0.053130161629232064,0.07216494845360824,0.001,24,1,0.477,0
9989,refusal,5,16,4080,11,49,20400,190,0.7509224198546838,0.09189381997322299,0.12105263157894737,0.001,21,1,0.475,0
817,deception,5,16,4080,11,80,20400,267,0.7622378598053284,0.047316823017140006,0.07865168539325842,0.001,17,1,0.332,0
12730,ethics,5,16,4080,11,17,20400,75,0.6592846248462485,0.009390147593814934,0.02666666666666667,0.001,20,1,0.401,0
892,sycophancy-adj,5,16,4080,11,55,20400,68,0.9016097487588386,0.11435331114923586,0.20588235294117646,0.001,21,1,0.392,0
1031,harm,5,16,4080,11,59,20400,97,0.9300522344217069,0.3242453103158743,0.36082474226804123,0.001,16,1,0.295,0
9989,refusal,5,16,4080,12,55,20400,190,0.7942907367379359,0.07749709627621375,0.1368421052631579,0.001,21,1,0.368,0
817,deception,5,16,4080,12,74,20400,267,0.7457658444006532,0.057429991335459674,0.09737827715355805,0.001,17,1,0.436,0
12730,ethics,5,16,4080,12,38,20400,75,0.7913676096760967,0.023418047826043394,0.06666666666666667,0.001,21,1,0.412,0
892,sycophancy-adj,5,16,4080,12,22,20400,68,0.9034042251565193,0.09808745359781307,0.19117647058823528,0.001,21,1,0.4,0
1031,harm,5,16,4080,12,82,20400,97,0.9526315495500893,0.3422252800930374,0.3917525773195876,0.001,18,1,0.351,0
9989,refusal,5,16,4080,13,33,20400,190,0.7608554910284123,0.03106242488918384,0.05789473684210526,0.001,17,1,0.404,0
817,deception,5,16,4080,13,30,20400,267,0.8052689316420335,0.05732695386717398,0.10112359550561797,0.001,22,1,0.388,0
12730,ethics,5,16,4080,13,18,20400,75,0.7396651086510865,0.011244915514310375,0.02666666666666667,0.001,21,1,0.363,0
892,sycophancy-adj,5,16,4080,13,32,20400,68,0.9015772008193402,0.14230484321840045,0.2647058823529412,0.001,19,1,0.464,0
1031,harm,5,16,4080,13,16,20400,97,0.8942018116260306,0.17389745914894306,0.27835051546391754,0.001,21,1,0.434,0
9989,refusal,5,16,4080,14,48,20400,190,0.7800833355035287,0.06022749239429037,0.09473684210526316,0.001,19,1,0.442,0
817,deception,5,16,4080,14,49,20400,267,0.7833336216780135,0.05990693241910021,0.1198501872659176,0.001,18,1,0.449,0
12730,ethics,5,16,4080,14,13,20400,75,0.7923260352603526,0.044174198837947036,0.05333333333333334,0.001,20,1,0.512,0
892,sycophancy-adj,5,16,4080,14,19,20400,68,0.9230139970605595,0.1728220931541749,0.25,0.001,21,1,0.554,0
1031,harm,5,16,4080,14,25,20400,97,0.9090388856250485,0.10733795496014883,0.20618556701030927,0.001,19,1,0.441,0
9989,refusal,5,32,8160,10,106,20400,190,0.8171079976041041,0.07716011342215919,0.11052631578947368,0.001,20,1,1.36,0
817,deception,5,32,8160,10,43,20400,267,0.7605928068978002,0.05493063914791636,0.0898876404494382,0.001,20,1,1.252,0
12730,ethics,5,32,8160,10,27,20400,75,0.7807622796227963,0.05096323997609337,0.08,0.001,22,1,1.23,0
892,sycophancy-adj,5,32,8160,10,34,20400,68,0.9060840055085579,0.1036153254860395,0.14705882352941177,0.001,22,1,1.088,0
1031,harm,5,32,8160,10,58,20400,97,0.9519790635785377,0.34152818161030746,0.3917525773195876,0.001,18,1,1.0,0
9989,refusal,5,32,8160,11,78,20400,190,0.7771525300138024,0.03740639792241994,0.05263157894736842,0.001,23,1,1.273,0
817,deception,5,32,8160,11,31,20400,267,0.7003944369195785,0.03928745028534639,0.08614232209737828,0.001,21,1,1.203,0
12730,ethics,5,32,8160,11,20,20400,75,0.7114597785977859,0.03725464410076354,0.05333333333333334,0.001,22,1,1.348,0
892,sycophancy-adj,5,32,8160,11,28,20400,68,0.926659366284385,0.15292375770697975,0.23529411764705882,0.001,21,1,1.236,0
1031,harm,5,32,8160,11,33,20400,97,0.9418454740577165,0.23077577300677843,0.32989690721649484,0.001,22,1,1.291,0
9989,refusal,5,32,8160,12,66,20400,190,0.7901125029297639,0.05681901361209818,0.08947368421052632,0.001,22,1,1.666,0
817,deception,5,32,8160,12,65,20400,267,0.810040384997817,0.06419691685625653,0.11235955056179775,0.001,21,1,1.439,0
12730,ethics,5,32,8160,12,24,20400,75,0.7520967609676097,0.07738136996954294,0.14666666666666667,0.001,23,1,1.647,0
892,sycophancy-adj,5,32,8160,12,29,20400,68,0.9361843399567185,0.10987520971323875,0.17647058823529413,0.001,20,1,1.204,0
1031,harm,5,32,8160,12,66,20400,97,0.9431555237126603,0.25398746912920095,0.30927835051546393,0.001,20,1,1.385,0
9989,refusal,5,32,8160,13,60,20400,190,0.8113268574702466,0.0657653143518515,0.10526315789473684,0.001,22,1,3.085,0
817,deception,5,32,8160,13,42,20400,267,0.8021267187435762,0.06642510108821864,0.10861423220973783,0.001,19,1,1.178,0
12730,ethics,5,32,8160,13,89,20400,75,0.8475499794997952,0.027816519657875127,0.04,0.001,21,1,1.104,0
892,sycophancy-adj,5,32,8160,13,43,20400,68,0.9191624908865769,0.19189757902356697,0.2647058823529412,0.001,21,1,1.162,0
1031,harm,5,32,8160,13,37,20400,97,0.9218281184386443,0.2318435066299659,0.28865979381443296,0.001,19,1,1.028,0
9989,refusal,5,32,8160,14,43,20400,190,0.8091434672777936,0.08667250827155557,0.08947368421052632,0.001,22,1,1.992,0
817,deception,5,32,8160,14,42,20400,267,0.8009636665239825,0.05293890492980044,0.07865168539325842,0.001,21,1,1.793,0
12730,ethics,5,32,8160,14,27,20400,75,0.7984646166461665,0.04709778761554886,0.06666666666666667,0.001,23,1,1.599,0
892,sycophancy-adj,5,32,8160,14,24,20400,68,0.891897443612503,0.09047442218209872,0.1323529411764706,0.001,21,1,1.122,0
1031,harm,5,32,8160,14,23,20400,97,0.9173175870104007,0.1593421344997147,0.24742268041237114,0.001,20,1,0.931,0
9989,refusal,5,64,16320,10,132,20400,190,0.7966105888174172,0.0701409808744534,0.14736842105263157,0.001,29,1,2.484,0
817,deception,5,64,16320,10,90,20400,267,0.7893021705285321,0.0812965560537107,0.14232209737827714,0.001,21,1,1.83,0
12730,ethics,5,64,16320,10,56,20400,75,0.819049774497745,0.030029806235356248,0.06666666666666667,0.001,23,1,2.121,0
892,sycophancy-adj,5,64,16320,10,59,20400,68,0.9507028908356574,0.17299913427003297,0.22058823529411764,0.001,24,1,2.44,0
1031,harm,5,64,16320,10,61,20400,97,0.9049472654236768,0.15438633786151318,0.24742268041237114,0.001,21,1,1.791,0
9989,refusal,5,64,16320,11,154,20400,190,0.8396148337196281,0.09094338378813449,0.1631578947368421,0.001,24,1,2.023,0
817,deception,5,64,16320,11,144,20400,267,0.7712483520171384,0.06580582911266335,0.12359550561797752,0.001,23,1,1.95,0
12730,ethics,5,64,16320,11,114,20400,75,0.8590412464124642,0.06597587466443094,0.12,0.001,22,1,2.166,0
892,sycophancy-adj,5,64,16320,11,56,20400,68,0.926131366376966,0.10939347677575122,0.22058823529411764,0.001,21,1,1.83,0
1031,harm,5,64,16320,11,113,20400,97,0.9429224567391645,0.3314356557247112,0.4020618556701031,0.001,20,1,1.575,0
9989,refusal,5,64,16320,12,131,20400,190,0.8567116331154456,0.09356517291087135,0.12631578947368421,0.001,24,1,2.029,0
817,deception,5,64,16320,12,90,20400,267,0.8090668961518263,0.08809136312441651,0.17228464419475656,0.001,22,1,1.87,0
12730,ethics,5,64,16320,12,104,20400,75,0.8534520705207052,0.11096781285333021,0.14666666666666667,0.001,21,1,1.584,0
892,sycophancy-adj,5,64,16320,12,43,20400,68,0.9300783465068105,0.23004970351428372,0.29411764705882354,0.001,22,1,2.005,0
1031,harm,5,64,16320,12,111,20400,97,0.9636486609312218,0.30988043901755985,0.3711340206185567,0.001,21,1,1.827,0
9989,refusal,5,64,16320,13,185,20400,190,0.8332355009245034,0.0703304426566623,0.14736842105263157,0.001,26,1,2.102,0
817,deception,5,64,16320,13,152,20400,267,0.8379432206538133,0.11902871541692048,0.17228464419475656,0.001,22,1,1.647,0
12730,ethics,5,64,16320,13,146,20400,75,0.8034591225912259,0.051287984671060834,0.05333333333333334,0.001,20,1,1.575,0
892,sycophancy-adj,5,64,16320,13,95,20400,68,0.9470987490018632,0.23131592063883563,0.3088235294117647,0.001,21,1,1.725,0
