feature_idx,feature_theme,layer,full_auc_roc,full_auc_pr,n_tokens_at_roc_0.9,n_seq_at_roc_0.9,n_tokens_at_pr_0.5,n_seq_at_pr_0.5
9989,refusal,5,0.8913195656136877,0.16207089527586208,,,,
9989,refusal,8,0.9060301049506498,0.17479910482458597,49530.836742563435,194.23857546103298,,
9989,refusal,12,0.9341469829943487,0.28150886445509554,21105.61957596779,82.76713559203044,,
9989,refusal,20,0.9959389567436653,0.8167421163332819,3139.5431565283525,12.311933947170008,16079.76000604074,63.057882376630324
817,deception,5,0.89306700330443,0.1964246887550474,,,,
817,deception,8,0.9244466247022841,0.2782424506580058,30950.63869288272,121.37505369757912,,
817,deception,12,0.938098722149392,0.331820738594199,26259.374304624198,102.97793844950651,,
817,deception,20,0.9969390816984655,0.8532253562860791,3498.5201598819244,13.719686901497754,15016.860005814195,58.88964708162426
12730,ethics,5,0.8733763017630177,0.07768419135689944,,,,
12730,ethics,8,0.9245559655596556,0.18194986931868828,18263.598236562928,71.62195386887426,,
12730,ethics,12,0.9181185731857318,0.17366632997115977,26914.645169522675,105.54762811577505,,
12730,ethics,20,0.9930063140631405,0.7040105198174587,6356.388073512066,24.927012052988488,29294.43453517858,114.8801354320728
892,sycophancy-adj,5,0.936437490597262,0.33862246998642753,4006.5023393303713,15.711773879726946,,
892,sycophancy-adj,8,0.9723067664996355,0.42083992061009046,857.1289769797949,3.361290105803117,,
892,sycophancy-adj,12,0.987435048778512,0.45250897880011304,868.0332598399011,3.404051999372161,,
892,sycophancy-adj,20,0.9977267072479198,0.6637042368769325,860.3685734415665,3.3739944056532014,29386.93891576573,115.24289770888517
1031,harm,5,0.9778276634756634,0.4982540192152806,3791.2849343894063,14.867784056429043,,
1031,harm,8,0.977948513017476,0.46627613157563497,2559.5541427724797,10.037467226558743,,
1031,harm,12,0.9828439350032574,0.5700937056041196,2442.750783253449,9.579414836288032,31617.631982738727,123.99071365779876
1031,harm,20,0.9971620668521386,0.7869519270645331,1812.4214172824666,7.107534969735163,10681.234462412216,41.887193970244
