feature_idx,feature_theme,layer,n_seq,n_tokens,n_subsamples,n_train_pos_mean,auc_roc_mean,auc_roc_std,auc_roc_min,auc_roc_max,auc_pr_mean,auc_pr_std,auc_pr_min,auc_pr_max,p_at_k_mean,p_at_k_std
817,deception,5,2,510,3,8.333333333333334,0.594366470462064,0.08697240000620841,0.5147361804301024,0.6871765307521461,0.026802910852059866,0.01643305929082047,0.013151931714015418,0.045042580815886066,0.05118601747815232,0.04373103592543569
817,deception,5,4,1020,5,4.2,0.6395144015145723,0.052324047654072434,0.6023932422424584,0.7309087452337091,0.026127100186035666,0.007784655838453254,0.017460363735921414,0.03444491111302772,0.04344569288389513,0.019389032367857356
817,deception,5,8,2040,5,8.8,0.6126333849935383,0.04033950078795861,0.5879232690622342,0.6824886973536097,0.02249774664067662,0.0049542361730781324,0.017576808761469734,0.02774832453431613,0.04119850187265918,0.024702071082908086
817,deception,5,16,4080,5,52.8,0.7844113424751618,0.03203727168316405,0.7457658444006532,0.8254504548497807,0.05727562686100977,0.00626195133251896,0.047316823017140006,0.06439743366617495,0.10037453183520599,0.014840159367909327
817,deception,5,32,8160,5,44.6,0.7748236028165508,0.045856300291661364,0.7003944369195785,0.810040384997817,0.05555580246150767,0.010778552488709747,0.03928745028534639,0.06642510108821864,0.09513108614232209,0.014649893045399211
817,deception,5,64,16320,5,121.4,0.801799177789795,0.024743040205046064,0.7712483520171384,0.8379432206538133,0.08760835507372171,0.019474458503443655,0.06580582911266335,0.11902871541692048,0.14756554307116104,0.023628180218108624
817,deception,5,128,32640,5,277.6,0.8633663664719503,0.0038670655941648157,0.8587591021579157,0.8684675745245428,0.14895090141163503,0.019592370819762187,0.12054705347958346,0.1705066901058209,0.22397003745318353,0.02023858589678846
817,deception,5,256,65280,5,600.2,0.8813969499829877,0.005464551224246574,0.8756691224331976,0.8893649366543943,0.18146540285680832,0.0118196907063619,0.1693963121758278,0.19539316878992097,0.24569288389513105,0.01111040971849538
817,deception,5,320,81600,1,755.0,0.89306700330443,0.0,0.89306700330443,0.89306700330443,0.1964246887550474,0.0,0.1964246887550474,0.1964246887550474,0.250936329588015,0.0
817,deception,8,2,510,3,8.333333333333334,0.5997707938835954,0.11224524699612126,0.49524668445474296,0.7184032364551016,0.036097336930017,0.03120791375020119,0.011993459940701431,0.07134811626215962,0.0599250936329588,0.05440389155930318
817,deception,8,4,1020,5,4.2,0.6788565031305862,0.07254354216903156,0.6124628895745912,0.7926987778464224,0.03291764638165371,0.014672631298433497,0.017278211922247443,0.05449204261153797,0.050187265917602995,0.03239213230028413
817,deception,8,8,2040,5,8.8,0.6792939313118324,0.05193030302951943,0.5896396640244993,0.717956674258503,0.031727438959244784,0.011424295733299034,0.0171917466453441,0.049170372915710824,0.05318352059925093,0.02600232952465885
817,deception,8,16,4080,5,52.8,0.8357943644799535,0.0379507004403279,0.7910721417926592,0.88226254210995,0.09846748770780289,0.023346883928350957,0.06464581908639219,0.11921600326013981,0.1707865168539326,0.04829863569027022
817,deception,8,32,8160,5,44.6,0.8368034406403411,0.04263284006962483,0.7678538840307461,0.8804831763901143,0.09701401491659138,0.032850877136406116,0.06269971745118766,0.14842157301150985,0.14232209737827717,0.045717436763047584
817,deception,8,64,16320,5,121.4,0.8517199574142811,0.021091729952711455,0.8186817960190204,0.876959790427366,0.13111974529905426,0.021179848996297622,0.10950854647925508,0.16326333886043842,0.2,0.023628180218108624
817,deception,8,128,32640,5,277.6,0.9040091072272013,0.008710471437227021,0.8933656725844297,0.9117440183826244,0.24123157025186917,0.032877484653469555,0.19653481715947474,0.2811578317570767,0.2981273408239701,0.02908354855178602
817,deception,8,256,65280,5,600.2,0.9201341974744356,0.00710535189378306,0.9111262166517751,0.9271827366737785,0.2770022041512226,0.020598296682523554,0.24127966314892413,0.29407277053838515,0.3153558052434457,0.024473871539632285
817,deception,8,320,81600,1,755.0,0.9244466247022841,0.0,0.9244466247022841,0.9244466247022841,0.2782424506580058,0.0,0.2782424506580058,0.2782424506580058,0.3295880149812734,0.0
817,deception,12,2,510,3,8.333333333333334,0.602142103327479,0.09284306318939001,0.5126408447494573,0.6980002459301078,0.03721748780921665,0.02722516732628378,0.012425335281335955,0.06635338533026348,0.05368289637952559,0.04712755577572253
817,deception,12,4,1020,5,4.2,0.6466036996296725,0.06874237766386618,0.5893447153210178,0.7598143692757768,0.02898515724179454,0.010085257614532984,0.016250769965843837,0.042741338685773705,0.04119850187265917,0.021677597196236378
817,deception,12,8,2040,5,8.8,0.6812495593442186,0.07875406816238915,0.5848007752193234,0.753208578682101,0.03428298696617864,0.014494808389389527,0.018513497497164928,0.05210224184293849,0.05917602996254682,0.02253424562770236
817,deception,12,16,4080,5,52.8,0.8343279736568301,0.01234100252679671,0.8205938002917303,0.8541762820316059,0.11369114818625436,0.016636046621663642,0.0854746587267251,0.12826189155490622,0.16928838951310862,0.0301259588796857
817,deception,12,32,8160,5,44.6,0.8032015374910404,0.04714674466133929,0.7372260981328101,0.8485114252393865,0.09076253052783259,0.03564133958560946,0.057844849694189605,0.14459276103037816,0.13932584269662923,0.031043244621875805
817,deception,12,64,16320,5,121.4,0.8681741326545513,0.024899253151524872,0.8348458407024002,0.897555599830416,0.15999733735772656,0.034569419472069894,0.12423000518837357,0.19905114398491278,0.2269662921348315,0.035786903926865184
817,deception,12,128,32640,5,277.6,0.9145545790902483,0.008764533105657214,0.9017561307194795,0.9257095744013918,0.2625698224038599,0.037274757192187896,0.2166922691895882,0.30921898887857724,0.301123595505618,0.02406931687349757
817,deception,12,256,65280,5,600.2,0.9329001280064351,0.0021908678508754747,0.9294992606284316,0.9351550020081811,0.3144115501575235,0.020553861215145023,0.2959981651263012,0.34330845356090034,0.33483146067415726,0.019207312966229344
817,deception,12,320,81600,1,755.0,0.938098722149392,0.0,0.938098722149392,0.938098722149392,0.331820738594199,0.0,0.331820738594199,0.331820738594199,0.3707865168539326,0.0
817,deception,20,2,510,3,8.333333333333334,0.7761350502305735,0.07832931491327971,0.6989034158799041,0.8555177358952479,0.07772413991745283,0.07581236279254351,0.021463353839378717,0.1639368651634194,0.09612983770287142,0.12033687077254347
817,deception,20,4,1020,5,4.2,0.7628066987491979,0.08753468838492688,0.6300230805964308,0.8530930361783279,0.06189408262018912,0.03036778679761202,0.032306270024084545,0.10127601520866018,0.0853932584269663,0.04777300006417482
817,deception,20,8,2040,5,8.8,0.7647281160804991,0.11884408919272078,0.5729582731762617,0.8721781054861575,0.06546376190157752,0.0435063432092565,0.01739001683193512,0.1306591706458295,0.09438202247191012,0.06473011072953068
817,deception,20,16,4080,5,52.8,0.938560185254946,0.01640241037380457,0.9234011427006659,0.9600004539103351,0.3067977106747061,0.05076974922399644,0.2578804393434244,0.37028300035869005,0.350561797752809,0.05865938598933095
817,deception,20,32,8160,5,44.6,0.9281605227856478,0.023597370540087863,0.8999559297711417,0.9591315132645064,0.2732734463069263,0.08508412682904196,0.21142264877229258,0.4216091213250466,0.32284644194756557,0.06790294192305374
817,deception,20,64,16320,5,121.4,0.9710436831028716,0.008491051097071963,0.9627882818954328,0.9838975308579965,0.530934203627202,0.07286170898600723,0.4674108331595734,0.6358074628891041,0.5123595505617977,0.052661360309731245
817,deception,20,128,32640,5,277.6,0.9905462383018098,0.0021490720488630505,0.9880359281192057,0.9927783609781471,0.7368803939411378,0.02878024361017108,0.7074604451521238,0.7731435536111424,0.6494382022471911,0.027085670010134164
817,deception,20,256,65280,5,600.2,0.9953983537565081,0.0008654621648966041,0.9942297578779022,0.9964390362144175,0.8217240994689445,0.012972640012548553,0.8050113572955755,0.8382339372468978,0.7235955056179776,0.0146019390933468
817,deception,20,320,81600,1,755.0,0.9969390816984655,0.0,0.9969390816984655,0.9969390816984655,0.8532253562860791,0.0,0.8532253562860791,0.8532253562860791,0.7490636704119851,0.0
892,sycophancy-adj,5,2,510,2,3.5,0.679860275312171,0.08984646744293578,0.6163292289176147,0.7433913217067272,0.027109464919912812,0.026385621345377364,0.008452013140775965,0.04576691669904966,0.08088235294117647,0.09358766221586659
892,sycophancy-adj,5,4,1020,2,10.5,0.888713893485783,0.06845389123484964,0.8403096827950145,0.9371181041765516,0.05830503565956087,0.04994870504938706,0.02298596760765253,0.0936241037114692,0.1323529411764706,0.10398629135096286
892,sycophancy-adj,5,8,2040,5,9.6,0.8266081575262408,0.0447059158127196,0.7654494219485946,0.8675559245929338,0.039365088367595946,0.015413210760505804,0.017242859695997724,0.05475807296197311,0.07058823529411765,0.03510981290092153
892,sycophancy-adj,5,16,4080,5,27.8,0.9019766002013633,0.01513060591928766,0.8802778292115587,0.9230139970605595,0.11845986196932268,0.041359579570910875,0.06473160872698908,0.1728220931541749,0.21470588235294116,0.04236723614967039
892,sycophancy-adj,5,32,8160,5,31.6,0.9159975292497483,0.017394619558389997,0.891897443612503,0.9361843399567185,0.1297572588223847,0.04189255266489262,0.09047442218209872,0.19189757902356697,0.19117647058823528,0.056955637444226714
892,sycophancy-adj,5,64,16320,5,67.4,0.9433255025401859,0.015098991462517662,0.926131366376966,0.9626161599796322,0.20682152284715602,0.06847007519764764,0.10939347677575122,0.29034937903687663,0.2735294117647059,0.04943451857050475
892,sycophancy-adj,5,128,32640,5,155.2,0.9468136290518568,0.00647026474098322,0.937344493177952,0.9516728194327113,0.26746985233791437,0.04074881634288248,0.21503659426728383,0.3233095626196078,0.3088235294117647,0.027512186667455456
892,sycophancy-adj,5,256,65280,5,277.8,0.9376718531205517,0.003294328020014424,0.9344882306650775,0.9413594623369711,0.3156866692658759,0.024335083527411313,0.29435581217274304,0.3498910760047121,0.3411764705882353,0.028287329502457846
892,sycophancy-adj,5,320,81600,1,358.0,0.936437490597262,0.0,0.936437490597262,0.936437490597262,0.33862246998642753,0.0,0.33862246998642753,0.33862246998642753,0.3382352941176471,0.0
892,sycophancy-adj,8,2,510,2,3.5,0.7637072030759973,0.12974223095006193,0.6719655917649373,0.8554488143870572,0.030434698643404534,0.030648510420286774,0.00876292909195319,0.05210646819485588,0.08823529411764706,0.0831890330807703
892,sycophancy-adj,8,4,1020,2,10.5,0.9456698944578815,0.02308595910530745,0.9293456562243233,0.9619941326914397,0.12335438163875469,0.09222211879289692,0.05814349606490593,0.18856526721260344,0.16176470588235295,0.1663780661615406
892,sycophancy-adj,8,8,2040,5,9.6,0.9048924616078973,0.04424340269922098,0.8505890453761675,0.9514919975466086,0.08318737026079573,0.05522345507688167,0.0322833952640502,0.1652620323652304,0.1088235294117647,0.06625811956511064
892,sycophancy-adj,8,16,4080,5,27.8,0.9469329714966845,0.012586501230513292,0.9303806807003738,0.9637394255361008,0.20780665883093746,0.0835217313776346,0.10449304631939853,0.32720905658754035,0.2735294117647059,0.053631125084736685
892,sycophancy-adj,8,32,8160,5,31.6,0.9529534723588432,0.013427199241540962,0.9305513765608545,0.965912181319508,0.19971055840667273,0.04101727033908611,0.14086920944501274,0.23588405950231767,0.27647058823529413,0.0544316338921228
892,sycophancy-adj,8,64,16320,5,67.4,0.9715219995139506,0.006126753724066446,0.9635173762599668,0.9792438173380705,0.3080892111775028,0.05818192751112155,0.23092874729766727,0.3820563635731912,0.3558823529411764,0.0408071674279753
892,sycophancy-adj,8,128,32640,5,155.2,0.9764056370138061,0.0016042109290834725,0.9742610894446309,0.9780511161773384,0.3601575256216726,0.03160948933160403,0.3263490067316159,0.4031356221113116,0.4,0.021812348491457814
892,sycophancy-adj,8,256,65280,5,277.8,0.9689855747532145,0.004393917225229187,0.9655787457615351,0.9760107220145584,0.4117079461647485,0.011047083719498314,0.3973008589653327,0.4267888626564737,0.41764705882352937,0.02671456194791905
892,sycophancy-adj,8,320,81600,1,358.0,0.9723067664996355,0.0,0.9723067664996355,0.9723067664996355,0.42083992061009046,0.0,0.42083992061009046,0.42083992061009046,0.4411764705882353,0.0
892,sycophancy-adj,12,2,510,2,3.5,0.7510532874865469,0.21028046259431812,0.6023625464350604,0.8997440285380334,0.0393547415437127,0.04569200493479916,0.007045615008307018,0.07166386807911838,0.08088235294117647,0.11438492048605917
892,sycophancy-adj,12,4,1020,2,10.5,0.9451831219404937,0.014484535497494615,0.934941008667878,0.9554252352131094,0.14292825494459815,0.0857316990428222,0.08230678918877433,0.203549720700422,0.1985294117647059,0.09358766221586659
892,sycophancy-adj,12,8,2040,5,9.6,0.9007535932925206,0.06442327230367291,0.8154177419541495,0.9749728043883301,0.0981684370114337,0.07903123644508943,0.02532240982619245,0.2056432458780409,0.14705882352941177,0.08574929257125442
892,sycophancy-adj,12,16,4080,5,27.8,0.9588281584520489,0.010477665027315983,0.9492816308108921,0.9747283331983196,0.2167795327292402,0.05353421720646918,0.13672668470201327,0.28372133207422906,0.27647058823529413,0.024164230478169096
892,sycophancy-adj,12,32,8160,5,31.6,0.9670018863339159,0.01341578772799483,0.9450178507365959,0.9803844417956047,0.2102139324782934,0.05834896086965304,0.11322826985056655,0.26200963195332194,0.25882352941176473,0.05657465900491571
892,sycophancy-adj,12,64,16320,5,67.4,0.9802953327701335,0.008580690200376058,0.9698569915867193,0.9903947414102371,0.3105262629085916,0.06291401021678687,0.24858853937719688,0.3984276807628345,0.3558823529411764,0.07382294351771254
892,sycophancy-adj,12,128,32640,5,155.2,0.9855450984249691,0.0028975273670085273,0.9808726608880813,0.9875739199870386,0.4010612305688931,0.046211014262750066,0.34807774496930266,0.4645898682170705,0.39999999999999997,0.038065232663367
